"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"182","AJ Griffin","SF","19","ATL","72","1401",".465","16.8",NA,".514",".101",".165",".173",".075",".486",NA,".536",".630",".568",".522",".375",".390",NA,".558",".891",NA,".017","9",NA,".293",".408",NA,"0","0"
"183","Blake Griffin","C","33","BOS","41","569",".485","13.6",NA,".492",".308",".162",".008",".000",".508",NA,".625",".675",".524",".000","",".348",NA,".725","1.000",NA,".062","8",NA,".318",".333",NA,"0","0"
"184","Quentin Grimes","SG","22","NYK","71","2121",".468","17.9",NA,".324",".248",".047",".018",".012",".676",NA,".641",".745",".321",".182",".429",".386",NA,".776",".994",NA,".043","24",NA,".327",".474",NA,"0","0"
"185","Rui Hachimura","PF","24","TOT","63","1466",".486","13.1",NA,".726",".247",".175",".170",".135",".274",NA,".550",".736",".373",".495",".506",".319",NA,".618","1.000",NA,".074","38",NA,".319",".333",NA,"0","0"
"185","Rui Hachimura","PF","24","WAS","30","728",".488","13.8",NA,".725",".204",".188",".179",".154",".275",NA,".545",".803",".344",".534",".460",".337",NA,".555","1.000",NA,".062","19",NA,".337",".400",NA,"0","0"
"185","Rui Hachimura","PF","24","LAL","33","738",".485","12.3",NA,".727",".300",".158",".158",".112",".273",NA,".556",".679",".415",".439",".586",".296",NA,".695","1.000",NA,".088","19",NA,".296",".238",NA,"0","0"
"186","Tyrese Haliburton","PG","22","IND","56","1883",".490","15.8",NA,".522",".209",".163",".092",".048",".478",NA,".572",".733",".453",".403",".550",".400",NA,".243",".435",NA,".020","17",NA,".092",".514",NA,"6","1"
"187","Jordan Hall","SF","21","SAS","9","83",".321","19.1",NA,".464",".143",".036",".107",".179",".536",NA,".462",".750",".000",".333",".400",".200",NA,".500","1.000",NA,".036","0",NA,".267",".250",NA,"0","0"
"188","R.J. Hampton","SG","21","TOT","47","750",".430","15.8",NA,".511",".156",".211",".089",".038",".489",NA,".504",".676",".440",".476",".222",".353",NA,".410",".805",NA,".025","6",NA,".250",".448",NA,"0","0"
"188","R.J. Hampton","SG","21","ORL","26","361",".439","15.8",NA,".535",".167",".219",".079",".070",".465",NA,".525",".684",".520",".444",".250",".340",NA,".250",".722",NA,".018","2",NA,".283",".467",NA,"0","0"
"188","R.J. Hampton","SG","21","DET","21","389",".423","15.7",NA,".488",".146",".203",".098",".008",".512",NA,".483",".667",".360",".500",".000",".365",NA,".586",".870",NA,".033","4",NA,".222",".429",NA,"0","0"
"189","Tim Hardaway Jr.","SF","30","DAL","71","2152",".401","19.7",NA,".351",".109",".093",".090",".059",".649",NA,".431",".543",".367",".434",".320",".385",NA,".641",".896",NA,".014","9",NA,".271",".389",NA,"4","0"
"190","James Harden","PG","33","PHI","58","2135",".441","16.4",NA,".504",".162",".188",".106",".043",".496",NA,".495",".618",".418",".438",".528",".385",NA,".129",".416",NA,".001","1",NA,".050",".429",NA,"0","0"
"191","Jaden Hardy","SG","20","DAL","48","708",".438","15.0",NA,".532",".279",".138",".057",".057",".468",NA,".469",".548",".435",".263",".368",".404",NA,".422",".825",NA,".024","7",NA,".231",".472",NA,"2","1"
"192","Ron Harper Jr.","PF","22","TOR","9","48",".500","15.5",NA,".438",".188",".250",".000",".000",".563",NA,".714",".667",".750","","",".333",NA,".600","1.000",NA,".000","0",NA,".444",".500",NA,"0","0"
"193","Montrezl Harrell","C","29","PHI","57","681",".598","4.0",NA,".971",".627",".297",".043",".005",".029",NA,".616",".710",".500",".111",".000",".000",NA,".656","",NA,".263","48",NA,".167",".000",NA,"1","0"
"194","Gary Harris","SG","28","ORL","48","1184",".450","19.4",NA,".290",".143",".091",".016",".039",".710",NA,".494",".614",".429",".000",".417",".431",NA,".523",".915",NA,".010","2",NA,".417",".462",NA,"0","0"
"195","Joe Harris","SF","31","BRK","74","1527",".457","20.5",NA,".243",".127",".064",".011",".041",".757",NA,".551",".714",".357",".000",".500",".426",NA,".797","1.000",NA,".000","0",NA,".273",".462",NA,"0","0"
"196","Kevon Harris","SG","25","ORL","34","457",".439","12.3",NA,".598",".355",".206",".009",".028",".402",NA,".484",".579",".409",".000",".000",".372",NA,".516",".875",NA,".075","5",NA,".326",".500",NA,"0","0"
"197","Tobias Harris","SF","30","PHI","74","2436",".501","13.2",NA,".617",".260",".220",".102",".034",".383",NA,".570",".709",".473",".453",".483",".389",NA,".495",".937",NA,".070","51",NA,".389",".405",NA,"0","0"
"198","Shaquille Harrison","SG","29","POR","5","120",".417","11.0",NA,".722",".444",".111",".083",".083",".278",NA,".462",".500",".500",".333",".333",".300",NA,".500","1.000",NA,".028","1",NA,".100","1.000",NA,"0","0"
"199","Josh Hart","SF","27","TOT","76","2454",".529","10.6",NA,".685",".444",".150",".065",".025",".315",NA,".601",".736",".410",".265",".231",".372",NA,".444","1.000",NA,".019","10",NA,".415",".412",NA,"0","0"
"199","Josh Hart","SF","27","POR","51","1704",".504","10.6",NA,".691",".455",".132",".072",".033",".309",NA,".594",".715",".438",".269",".250",".304",NA,".470","1.000",NA,".019","7",NA,".438",".327",NA,"0","0"
"199","Josh Hart","SF","27","NYK","25","750",".586","10.5",NA,".669",".420",".191",".051",".006",".331",NA,".619",".788",".367",".250",".000",".519",NA,".385","1.000",NA,".019","3",NA,".365",".632",NA,"0","0"
"200","Isaiah Hartenstein","C","24","NYK","82","1626",".535","6.0",NA,".887",".560",".202",".122",".003",".113",NA,".576",".623",".576",".375",".000",".216",NA,".611","1.000",NA,".144","42",NA,".649",".292",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"201","Udonis Haslem","C","42","MIA","7","71",".345","14.7",NA,".690",".138",".103",".310",".138",".310",NA,".350",".250",".333",".556",".000",".333",NA,".714","1.000",NA,".034","1",NA,".444",".250",NA,"0","0"
"202","Sam Hauser","SF","25","BOS","80","1290",".455","22.4",NA,".154",".078",".048",".013",".015",".846",NA,".656",".839",".526",".600",".167",".418",NA,".775",".971",NA,".013","3",NA,".307",".437",NA,"2","0"
"203","Jaxson Hayes","C","22","NOP","47","610",".551","7.4",NA,".814",".410",".353",".006",".013",".186",NA,".654",".766",".527","1.000",".500",".103",NA,".747","1.000",NA,".308","44",NA,".414",".167",NA,"0","0"
"204","Killian Hayes","PG","21","DET","76","2154",".377","15.7",NA,".649",".086",".216",".236",".112",".351",NA,".429",".586",".403",".401",".418",".280",NA,".141",".763",NA,".017","13",NA,".259",".243",NA,"0","0"
"205","Gordon Hayward","SF","32","CHO","50","1577",".475","14.4",NA,".725",".160",".201",".191",".172",".275",NA,".532",".763",".487",".486",".420",".325",NA,".554",".904",NA,".028","16",NA,".231",".432",NA,"0","0"
"206","Juancho Hernangómez","PF","27","TOR","42","614",".421","16.1",NA,".412",".289",".105",".000",".018",".588",NA,".660",".727",".583","",".000",".254",NA,".677","1.000",NA,".018","2",NA,".418",".321",NA,"0","0"
"207","Willy Hernangómez","C","28","NOP","38","458",".527","5.0",NA,".935",".503",".379",".036",".018",".065",NA,".544",".635",".453",".500",".000",".273",NA,".709","1.000",NA,".101","15",NA,".273",".000",NA,"0","0"
"208","Tyler Herro","SG","23","MIA","67","2337",".439","17.1",NA,".516",".093",".189",".152",".076",".484",NA,".497",".699",".486",".462",".357",".378",NA,".387",".690",NA,".012","13",NA,".168",".444",NA,"2","0"
"209","Buddy Hield","SF","30","IND","80","2482",".458","19.2",NA,".348",".151",".084",".044",".066",".652",NA,".518",".688",".345",".413",".420",".425",NA,".556",".878",NA,".012","12",NA,".167",".478",NA,"1","0"
"210","Haywood Highsmith","PF","26","MIA","54","969",".431","15.4",NA,".495",".241",".148",".069",".037",".505",NA,".523",".692",".406",".267",".375",".339",NA,".625",".973",NA,".060","13",NA,".440",".313",NA,"0","0"
"211","George Hill","PG-SG","36","TOT","46","834",".470","17.7",NA,".428",".205",".102",".054",".066",".572",NA,".620",".706",".412",".667",".636",".358",NA,".477",".853",NA,".018","3",NA,".337",".438",NA,"4","1"
"211","George Hill","PG","36","MIL","35","668",".447","17.7",NA,".439",".205",".106",".053",".076",".561",NA,".621",".704",".357",".714",".700",".311",NA,".417",".870",NA,".015","2",NA,".351",".385",NA,"3","0"
"211","George Hill","SG","36","IND","11","166",".559","17.9",NA,".382",".206",".088",".059",".029",".618",NA,".615",".714",".667",".500",".000",".524",NA,".750",".818",NA,".029","1",NA,".286",".667",NA,"1","1"
"212","Malcolm Hill","SF","27","CHI","5","9",".500","18.7",NA,".250",".250",".000",".000",".000",".750",NA,"1.000","1.000","","","",".333",NA,"1.000","1.000",NA,".250","1",NA,".333",".000",NA,"0","0"
"213","Aaron Holiday","PG","26","ATL","63","845",".418","14.7",NA,".600",".223",".168",".132",".077",".400",NA,".424",".612",".216",".310",".529",".409",NA,".214",".861",NA,".000","0",NA,".170",".200",NA,"0","0"
"214","Jrue Holiday","PG","32","MIL","67","2183",".479","15.3",NA,".598",".194",".216",".096",".093",".402",NA,".542",".727",".452",".459",".453",".384",NA,".247",".430",NA,".007","6",NA,".117",".458",NA,"4","0"
"215","Justin Holiday","SF","33","TOT","46","706",".377","19.8",NA,".299",".147",".020",".034",".098",".701",NA,".508",".700",".500",".143",".350",".322",NA,".871",".913",NA,".039","8",NA,".538",".325",NA,"0","0"
"215","Justin Holiday","SF","33","ATL","28","411",".384","20.2",NA,".304",".152",".008",".032",".112",".696",NA,".474",".684",".000",".000",".357",".345",NA,"1.000",".900",NA,".048","6",NA,".414",".306",NA,"0","0"
"215","Justin Holiday","SF","33","DAL","18","295",".367","19.1",NA,".291",".139",".038",".038",".076",".709",NA,".565",".727",".667",".333",".333",".286",NA,".692",".938",NA,".025","2",NA,".732",".341",NA,"0","0"
"216","Richaun Holmes","C","29","SAC","42","348",".618","6.4",NA,".910",".438",".337",".135",".000",".090",NA,".617",".744",".533",".417","",".625",NA,".780","1.000",NA,".191","14",NA,".125","1.000",NA,"0","0"
"217","Al Horford","C","36","BOS","63","1922",".476","18.8",NA,".322",".140",".123",".038",".021",".678",NA,".539",".672",".525",".278",".200",".446",NA,".675",".993",NA,".023","11",NA,".378",".488",NA,"0","0"
"218","Talen Horton-Tucker","SG","22","UTA","65","1313",".419","12.8",NA,".669",".232",".321",".083",".033",".331",NA,".485",".627",".437",".314",".400",".286",NA,".206",".776",NA,".038","19",NA,".148",".367",NA,"5","0"
"219","Danuel House Jr.","SF","29","PHI","56","807",".472","15.5",NA,".442",".279",".086",".030",".036",".558",NA,".644",".727",".412",".833",".286",".336",NA,".714",".892",NA,".071","12",NA,".464",".333",NA,"0","0"
"220","Caleb Houstan","SF","20","ORL","51","812",".363","20.1",NA,".253",".159",".038",".005",".049",".747",NA,".435",".483",".429",".000",".333",".338",NA,".650","1.000",NA,".005","0",NA,".338",".478",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"221","Trevor Hudgins","PG","23","HOU","5","28",".222","24.8",NA,".111",".000",".111",".000",".000",".889",NA,".000","",".000","","",".250",NA,"","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"222","Kevin Huerter","SG","24","SAC","75","2203",".485","17.8",NA,".411",".135",".141",".087",".042",".589",NA,".604",".778",".607",".413",".444",".402",NA,".656",".868",NA,".014","11",NA,".149",".395",NA,"0","0"
"223","Jay Huff","C","24","WAS","7","95",".600","15.5",NA,".520",".320",".080",".080",".040",".480",NA,".692",".875",".500",".000","1.000",".500",NA,"1.000","1.000",NA,".160","4",NA,".083",".000",NA,"0","0"
"224","De'Andre Hunter","SF","25","ATL","67","2126",".461","14.4",NA,".652",".157",".176",".193",".114",".348",NA,".521",".651",".421",".522",".489",".350",NA,".584",".900",NA,".044","32",NA,".406",".397",NA,"0","0"
"225","Bones Hyland","PG","22","TOT","56","1085",".399","17.6",NA,".448",".156",".175",".082",".035",".552",NA,".434",".618",".310",".319",".500",".371",NA,".279",".607",NA,".007","3",NA,".137",".442",NA,"0","0"
"225","Bones Hyland","PG","22","DEN","42","820",".399","17.7",NA,".445",".147",".180",".081",".037",".555",NA,".425",".641",".321",".257",".438",".378",NA,".305",".549",NA,".007","2",NA,".120",".483",NA,"0","0"
"225","Bones Hyland","PG","22","LAC","14","265",".401","17.1",NA,".460",".182",".161",".088",".029",".540",NA,".460",".560",".273",".500",".750",".351",NA,".207",".808",NA,".007","1",NA,".189",".357",NA,"0","0"
"226","Serge Ibaka","C","33","MIL","16","185",".481","12.8",NA,".667",".333",".185",".074",".074",".333",NA,".556",".778",".400",".000",".500",".333",NA,".550","1.000",NA,".148","7",NA,".111",".500",NA,"0","0"
"227","Andre Iguodala","PF","39","GSW","8","113",".467","15.9",NA,".400",".267",".133",".000",".000",".600",NA,"1.000","1.000","1.000","","",".111",NA,".667","1.000",NA,".267","4",NA,".222",".000",NA,"0","0"
"228","Joe Ingles","SF","35","MIL","46","1044",".435","22.2",NA,".181",".081",".073",".008",".020",".819",NA,".556",".650",".500",".500",".400",".409",NA,".320",".711",NA,".000","0",NA,".261",".453",NA,"1","0"
"229","Brandon Ingram","SF","25","NOP","45","1538",".484","13.5",NA,".804",".135",".189",".273",".192",".196",NA,".507",".735",".456",".518",".375",".390",NA,".371",".781",NA,".030","22",NA,".067",".455",NA,"0","0"
"230","Kyrie Irving","PG-SG","30","TOT","60","2241",".494","15.8",NA,".588",".160",".182",".155",".091",".412",NA,".574",".724",".507",".538",".509",".379",NA,".291",".511",NA,".002","1",NA,".107",".340",NA,"2","0"
"230","Kyrie Irving","PG","30","BRK","40","1478",".486","16.2",NA,".575",".147",".166",".160",".103",".425",NA,".569",".700",".522",".550",".488",".374",NA,".295",".515",NA,".001","1",NA,".098",".324",NA,"0","0"
"230","Kyrie Irving","SG","30","DAL","20","763",".510","14.8",NA,".615",".188",".216",".143",".068",".385",NA,".585",".764",".482",".509",".577",".392",NA,".283",".500",NA,".003","0",NA,".128",".368",NA,"2","0"
"231","Jonathan Isaac","PF","25","ORL","11","124",".415","11.9",NA,".717",".321",".189",".113",".094",".283",NA,".421",".588",".100",".500",".400",".400",NA,".500","1.000",NA,".113","5",NA,".267",".750",NA,"0","0"
"232","Jaden Ivey","SG","20","DET","74","2304",".416","13.8",NA,".644",".242",".211",".097",".087",".356",NA,".457",".584",".333",".411",".442",".343",NA,".239",".733",NA,".033","28",NA,".117",".366",NA,"2","0"
"233","Frank Jackson","PG","24","UTA","1","5",".000","13.9",NA,".667",".000",".333",".333",".000",".333",NA,".000","",".000",".000","",".000",NA,"","",NA,".000","0",NA,".000","",NA,"0","0"
"234","Isaiah Jackson","C","21","IND","63","1042",".563","4.2",NA,".956",".616",".261",".044",".025",".044",NA,".582",".684",".373",".286",".750",".143",NA,".729","1.000",NA,".296","82",NA,".214",".333",NA,"0","0"
"235","Jaren Jackson Jr.","C","23","MEM","63","1787",".506","11.4",NA,".657",".304",".319",".028",".006",".343",NA,".585",".704",".496",".348",".400",".355",NA,".595",".960",NA,".112","83",NA,".209",".322",NA,"3","0"
"236","Justin Jackson","SF","27","BOS","23","107",".259","21.1",NA,".259",".074",".074",".074",".037",".741",NA,".286",".500",".000",".500",".000",".250",NA,".500",".800",NA,".000","0",NA,".300",".167",NA,"0","0"
"237","Quenton Jackson","PG","24","WAS","9","135",".452","10.9",NA,".714",".381",".238",".024",".071",".286",NA,".600",".563",".600","1.000",".667",".083",NA,".500","1.000",NA,".095","2",NA,".167",".000",NA,"0","0"
"238","Reggie Jackson","PG","32","TOT","68","1657",".411","16.1",NA,".550",".130",".209",".100",".100",".450",NA,".474",".639",".440",".422",".406",".333",NA,".257",".823",NA,".008","5",NA,".253",".384",NA,"1","1"
"238","Reggie Jackson","PG","32","LAC","52","1338",".418","15.9",NA,".570",".145",".221",".104",".102",".430",NA,".469",".622",".416",".453",".385",".350",NA,".255",".857",NA,".008","4",NA,".227",".420",NA,"0","0"
"238","Reggie Jackson","PG","32","DEN","16","319",".383","16.8",NA,".469",".070",".164",".086",".094",".531",NA,".500",".778",".571",".273",".500",".279",NA,".267",".684",NA,".008","1",NA,".338",".304",NA,"1","1"
"239","LeBron James","PF","38","LAL","55","1954",".500","12.8",NA,".691",".302",".197",".084",".107",".309",NA,".580",".788",".463",".340",".397",".321",NA,".395",".628",NA,".062","74",NA,".080",".267",NA,"0","0"
"240","Ty Jerome","SG","25","GSW","45","816",".488","14.7",NA,".628",".095",".306",".182",".045",".372",NA,".546",".739",".527",".523",".364",".389",NA,".410",".857",NA,".000","0",NA,".233",".524",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"241","Isaiah Joe","SG","23","OKC","73","1395",".441","22.6",NA,".224",".067",".037",".045",".075",".776",NA,".553",".706",".421",".565",".474",".409",NA,".714",".950",NA,".016","8",NA,".132",".519",NA,"1","0"
"242","Alize Johnson","PF","26","SAS","4","30",".500","12.8",NA,".667",".667",".000",".000",".000",".333",NA,".750",".750","","","",".000",NA,".333","",NA,".000","0",NA,".500",".000",NA,"1","0"
"243","Cameron Johnson","PF","26","TOT","42","1199",".470","17.0",NA,".462",".198",".097",".089",".078",".538",NA,".548",".691",".435",".429",".459",".404",NA,".600",".971",NA,".049","20",NA,".361",".424",NA,"0","0"
"243","Cameron Johnson","PF","26","PHO","17","429",".474","17.7",NA,".428",".179",".098",".075",".075",".572",NA,".500",".710",".412",".385",".231",".455",NA,".676",".956",NA,".040","6",NA,".303",".467",NA,"0","0"
"243","Cameron Johnson","PF","26","BRK","25","770",".468","16.5",NA,".482",".209",".096",".096",".080",".518",NA,".572",".683",".448",".448",".583",".372",NA,".566",".983",NA,".053","14",NA,".397",".403",NA,"0","0"
"244","Jalen Johnson","SF","21","ATL","70","1042",".491","11.2",NA,".677",".391",".189",".040",".047",".323",NA,".587",".722",".410",".462",".333",".288",NA,".625","1.000",NA,".152","42",NA,".442",".283",NA,"3","0"
"245","James Johnson","PF","35","IND","18","162",".449","11.4",NA,".694",".388",".204",".041",".061",".306",NA,".559",".632",".400",".500",".667",".200",NA,".421","1.000",NA,".082","4",NA,".533",".125",NA,"0","0"
"246","Keldon Johnson","SF","23","SAS","63","2063",".452","12.7",NA,".634",".270",".270",".080",".014",".366",NA,".523",".657",".455",".337",".313",".329",NA,".509",".903",NA,".022","22",NA,".226",".348",NA,"2","0"
"247","Keon Johnson","SG","20","POR","40","416",".376","15.4",NA,".545",".208",".197",".073",".067",".455",NA,".402",".649",".257",".231",".250",".346",NA,".308",".607",NA,".028","5",NA,".333",".259",NA,"1","0"
"248","Stanley Johnson","SF","26","SAS","30","469",".533","12.1",NA,".672",".262",".287",".098",".025",".328",NA,".573",".688",".514",".417",".667",".450",NA,".468",".944",NA,".016","2",NA,".350",".571",NA,"1","0"
"249","Nikola Jokić","C","27","DEN","69","2323",".632","8.6",NA,".854",".303",".414",".092",".038",".146",NA,".675",".784",".643",".500",".590",".383",NA,".603",".825",NA,".022","21",NA,".027",".250",NA,"2","0"
"250","Carlik Jones","PG","25","CHI","7","56",".400","16.0",NA,".600",".133",".267",".000",".200",".400",NA,".333",".500",".250","",".333",".500",NA,".000","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"251","Damian Jones","C","27","TOT","41","477",".640","7.2",NA,".802",".593",".186",".012",".012",".198",NA,".652",".706",".500",".000","1.000",".588",NA,".733",".900",NA,".302","21",NA,".765",".692",NA,"1","0"
"251","Damian Jones","C","27","LAL","22","176",".541","6.0",NA,".919",".595",".270",".027",".027",".081",NA,".588",".727",".300",".000","1.000",".000",NA,".700","",NA,".351","10",NA,".000","",NA,"1","0"
"251","Damian Jones","C","27","UTA","19","301",".714","8.1",NA,".714",".592",".122",".000",".000",".286",NA,".714",".690",".833","","",".714",NA,".760",".900",NA,".265","11",NA,".929",".692",NA,"0","0"
"252","Derrick Jones Jr.","PF","25","CHI","64","893",".500","9.7",NA,".652",".548",".096",".009",".000",".348",NA,".587",".627",".364",".500","",".338",NA,".739","1.000",NA,".178","35",NA,".600",".375",NA,"0","0"
"253","Herbert Jones","PF","24","NOP","66","1951",".469","10.8",NA,".667",".381",".220",".018",".038",".333",NA,".536",".660",".391",".444",".211",".335",NA,".659",".911",NA,".084","37",NA,".503",".321",NA,"1","0"
"254","Kai Jones","C","22","CHO","46","550",".558","7.2",NA,".842",".508",".242",".058",".033",".158",NA,".624",".836",".310",".429",".000",".211",NA,".619","1.000",NA,".408","44",NA,".421",".250",NA,"0","0"
"255","Tre Jones","PG","23","SAS","68","1984",".459","10.7",NA,".787",".276",".262",".210",".039",".213",NA,".506",".673",".385",".442",".483",".285",NA,".260",".867",NA,".004","1",NA,".323",".255",NA,"0","0"
"256","Tyus Jones","PG","26","MEM","80","1940",".438","16.6",NA,".541",".085",".182",".235",".039",".459",NA,".495",".600",".488",".473",".429",".371",NA,".284",".793",NA,".000","0",NA,".202",".530",NA,"0","0"
"257","DeAndre Jordan","C","34","DEN","39","586",".765","2.2",NA,".991",".800",".174",".009",".009",".009",NA,".763",".837",".450","1.000",".000","1.000",NA,".759","1.000",NA,".565","60",NA,".000","",NA,"0","0"
"258","Cory Joseph","PG","31","DET","62","1227",".427","16.8",NA,".487",".088",".214",".097",".074",".513",NA,".468",".645",".427",".441",".346",".389",NA,".213",".743",NA,".000","0",NA,".172",".387",NA,"0","0"
"259","Nikola Jović","PF","19","MIA","15","204",".406","16.3",NA,".493",".188",".159",".087",".058",".507",NA,".588",".846",".455",".333",".500",".229",NA,".850","1.000",NA,".014","1",NA,".286",".300",NA,"0","0"
"260","Johnny Juzang","SG","21","UTA","18","232",".337","19.2",NA,".394",".058",".163",".077",".096",".606",NA,".488",".833",".471",".250",".500",".238",NA,".550",".867",NA,".000","0",NA,".270",".235",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"261","Mfiondu Kabengele","PF","25","BOS","4","36",".286","12.7",NA,".571",".429",".143",".000",".000",".429",NA,".500",".667",".000","","",".000",NA,".500","",NA,".429","2",NA,".333",".000",NA,"0","0"
"262","Frank Kaminsky","C","29","TOT","36","235",".492","16.2",NA,".476",".206",".175",".063",".032",".524",NA,".600",".846",".364",".500",".500",".394",NA,".889","1.000",NA,".032","2",NA,".091",".000",NA,"0","0"
"262","Frank Kaminsky","C","29","ATL","26","176",".568","15.8",NA,".477",".227",".182",".045",".023",".523",NA,".667",".800",".500",".500","1.000",".478",NA,".929","1.000",NA,".045","2",NA,".043",".000",NA,"0","0"
"262","Frank Kaminsky","C","29","HOU","10","59",".316","17.1",NA,".474",".158",".158",".105",".053",".526",NA,".444","1.000",".000",".500",".000",".200",NA,".750","1.000",NA,".000","0",NA,".200",".000",NA,"0","0"
"263","Trevor Keels","SG","19","NYK","3","8",".250","25.2",NA,".000",".000",".000",".000",".000","1.000",NA,"","","","","",".250",NA,"","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"264","Luke Kennard","SG","26","TOT","59","1315",".492","20.9",NA,".296",".058",".084",".089",".065",".704",NA,".487",".545",".500",".441",".480",".494",NA,".600",".940",NA,".000","0",NA,".201",".481",NA,"1","0"
"264","Luke Kennard","SG","26","LAC","35","725",".464","19.9",NA,".374",".062",".123",".109",".081",".626",NA,".494",".538",".500",".478",".471",".447",NA,".667",".932",NA,".000","0",NA,".205",".519",NA,"1","0"
"264","Luke Kennard","SG","26","MEM","24","590",".526","22.1",NA,".199",".053",".035",".064",".047",".801",NA,".471",".556",".500",".364",".500",".540",NA,".438",".946",NA,".000","0",NA,".197",".444",NA,"0","0"
"265","Walker Kessler","C","21","UTA","74","1703",".720","2.7",NA,".993",".671",".304",".002",".014",".007",NA,".723",".813",".540","1.000",".333",".333",NA,".670","1.000",NA,".343","130",NA,".333",".000",NA,"0","0"
"266","Braxton Key","SF","25","DET","3","9","1.000","14.0",NA,"1.000",".000",".000","1.000",".000",".000",NA,"1.000","","","1.000","","",NA,"1.000","",NA,".000","0",NA,"","",NA,"0","0"
"267","Louis King","PF","23","PHI","1","29",".615","18.2",NA,".385",".154",".154",".000",".077",".615",NA,".800","1.000",".500","","1.000",".500",NA,".500",".750",NA,".000","0",NA,".125","1.000",NA,"0","0"
"268","Corey Kispert","SF","23","WAS","74","2093",".497","18.8",NA,".344",".179",".125",".029",".010",".656",NA,".637",".762",".534",".412",".333",".424",NA,".766",".982",NA,".029","15",NA,".224",".488",NA,"0","0"
"269","Maxi Kleber","PF","31","DAL","37","930",".456","18.1",NA,".337",".237",".047",".036",".018",".663",NA,".667",".725",".500",".667",".333",".348",NA,".868",".974",NA,".077","11",NA,".277",".290",NA,"0","0"
"270","Nathan Knight","C","25","MIN","38","291",".568","8.8",NA,".728",".444",".272",".012",".000",".272",NA,".644",".778",".455",".000","",".364",NA,".553","1.000",NA,".185","13",NA,".273",".333",NA,"0","0"
"271","Kevin Knox","SF-PF","23","TOT","63","952",".458","16.6",NA,".440",".235",".102",".066",".036",".560",NA,".596",".692",".500",".500",".417",".349",NA,".644","1.000",NA,".060","18",NA,".344",".313",NA,"0","0"
"271","Kevin Knox","SF","23","DET","42","593",".469","18.0",NA,".352",".162",".128",".039",".022",".648",NA,".651",".793",".565",".429",".500",".371",NA,".707","1.000",NA,".045","8",NA,".414",".333",NA,"0","0"
"271","Kevin Knox","PF","23","POR","21","359",".444","14.9",NA,".542",".320",".072",".098",".052",".458",NA,".554",".633",".364",".533",".375",".314",NA,".587","1.000",NA,".078","10",NA,".229",".250",NA,"0","0"
"272","Christian Koloko","C","22","TOR","58","802",".480","4.9",NA,".920",".633",".213",".067",".007",".080",NA,".514",".600",".313",".400",".000",".083",NA,".704","1.000",NA,".320","36",NA,".500",".167",NA,"1","0"
"273","John Konchar","SF","26","MEM","72","1494",".431","15.3",NA,".447",".294",".109",".028",".016",".553",NA,".545",".702",".229",".333",".200",".339",NA,".769",".950",NA,".028","7",NA,".525",".355",NA,"1","0"
"274","Furkan Korkmaz","SG","25","PHI","37","353",".432","14.7",NA,".586",".198",".243",".072",".072",".414",NA,".462",".818",".222",".500",".250",".391",NA,".567",".889",NA,".027","3",NA,".326",".333",NA,"1","0"
"275","Luke Kornet","C","27","BOS","69","804",".665","4.6",NA,".924",".647",".206",".041",".000",".076",NA,".701",".773",".600",".286","",".231",NA,".745","1.000",NA,".371","59",NA,".538",".286",NA,"1","0"
"276","Vit Krejci","PG","22","ATL","29","165",".405","15.9",NA,".432",".297",".081",".027",".027",".568",NA,".625",".636",".667",".000","1.000",".238",NA,".600",".600",NA,".054","2",NA,".190",".500",NA,"0","0"
