"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"46","Bojan Bogdanović","PF","33","DET","59","1893",".488","15.2",NA,".600",".144",".214",".169",".073",".400",NA,".539",".685",".487",".537",".406",".411",NA,".537",".828",NA,".012","10",NA,".297",".419",NA,"0","0"
"47","Bol Bol","PF","23","ORL","70","1505",".546","10.7",NA,".764",".324",".264",".107",".069",".236",NA,".633",".871",".492",".471",".303",".265",NA,".537",".767",NA,".157","73",NA,".239",".185",NA,"0","0"
"48","Leandro Bolmaro","SF","22","UTA","14","68",".150","11.0",NA,".800",".250",".350",".100",".100",".200",NA,".188",".200",".143",".500",".000",".000",NA,".000","",NA,".000","0",NA,".000","",NA,"0","0"
"49","Devin Booker","SG","26","PHO","53","1835",".494","14.5",NA,".704",".156",".202",".204",".142",".296",NA,".554",".717",".491",".555",".464",".351",NA,".387",".685",NA,".020","20",NA,".149",".362",NA,"0","0"
"50","Brandon Boston Jr.","SF","21","LAC","22","248",".418","12.6",NA,".762",".238",".213",".164",".148",".238",NA,".419",".724",".154",".400",".333",".414",NA,".538",".583",NA,".090","9",NA,".172",".200",NA,"0","0"
"51","Chris Boucher","PF","30","TOR","76","1523",".493","11.1",NA,".643",".412",".164",".036",".023",".357",NA,".585",".651",".460",".421",".583",".328",NA,".568",".984",NA,".146","67",NA,".487",".359",NA,"3","0"
"52","James Bouknight","SG","22","CHO","34","515",".358","17.9",NA,".435",".166",".140",".083",".047",".565",NA,".429",".594",".259",".313",".556",".303",NA,".500",".697",NA,".016","2",NA,".156",".353",NA,"1","0"
"53","Jamaree Bouyea","PG","23","TOT","5","71",".429","14.6",NA,".571",".143",".357",".000",".071",".429",NA,".500","1.000",".400","",".000",".333",NA,".500",".500",NA,".000","0",NA,".000","",NA,"0","0"
"53","Jamaree Bouyea","PG","23","MIA","4","65",".462","13.6",NA,".615",".154",".385",".000",".077",".385",NA,".500","1.000",".400","",".000",".400",NA,".500",".500",NA,".000","0",NA,".000","",NA,"0","0"
"53","Jamaree Bouyea","PG","23","WAS","1","6",".000","28.1",NA,".000",".000",".000",".000",".000","1.000",NA,"","","","","",".000",NA,"","",NA,".000","0",NA,".000","",NA,"0","0"
"54","Tony Bradley","C","25","CHI","12","33",".500","12.8",NA,".583",".333",".083",".167",".000",".417",NA,".429",".750",".000",".000","",".600",NA,".667","1.000",NA,".083","1",NA,".800",".500",NA,"0","0"
"55","Malaki Branham","SG","19","SAS","66","1550",".440","15.5",NA,".583",".149",".203",".146",".085",".417",NA,".539",".637",".524",".517",".442",".302",NA,".495",".922",NA,".020","9",NA,".208",".358",NA,"0","0"
"56","Jarrell Brantley","PF","26","UTA","4","39",".571","18.0",NA,".357",".071",".286",".000",".000",".643",NA,".800","1.000",".750","","",".444",NA,".250","1.000",NA,".000","0",NA,".333",".333",NA,"0","0"
"57","Christian Braun","SG","21","DEN","76","1181",".495","11.4",NA,".668",".360",".239",".028",".042",".332",NA,".565",".721",".420",".375",".167",".354",NA,".670",".941",NA,".114","30",NA,".417",".400",NA,"0","0"
"58","Mikal Bridges","SF-SG","26","TOT","83","2963",".468","14.5",NA,".651",".170",".176",".227",".078",".349",NA,".514",".693",".466",".469",".364",".382",NA,".538",".923",NA,".028","31",NA,".434",".448",NA,"2","0"
"58","Mikal Bridges","SF","26","PHO","56","2040",".463","14.1",NA,".658",".185",".177",".224",".073",".342",NA,".503",".709",".422",".468",".286",".387",NA,".605",".980",NA,".035","24",NA,".460",".475",NA,"1","0"
"58","Mikal Bridges","SG","26","BRK","27","923",".475","15.1",NA,".640",".147",".175",".233",".085",".360",NA,".531",".662",".534",".470",".465",".376",NA,".439",".838",NA,".016","7",NA,".398",".403",NA,"1","0"
"59","Oshae Brissett","PF","24","IND","65","1083",".386","13.9",NA,".514",".326",".147",".016",".019",".486",NA,".457",".558",".277",".400",".000",".310",NA,".707",".938",NA,".050","14",NA,".258",".225",NA,"0","0"
"60","Malcolm Brogdon","PG","30","BOS","67","1744",".484","14.4",NA,".594",".187",".239",".082",".075",".406",NA,".510",".613",".434",".483",".509",".444",NA,".342",".636",NA,".007","5",NA,".155",".435",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"61","Dillon Brooks","SF","27","MEM","73","2214",".396","15.8",NA,".557",".157",".190",".138",".072",".443",NA,".451",".635",".362",".453",".282",".326",NA,".438",".797",NA,".012","12",NA,".164",".361",NA,"2","0"
"62","Bruce Brown","SF","26","DEN","80","2280",".483","12.0",NA,".657",".262",".266",".086",".032",".343",NA,".548",".809",".391",".391",".250",".358",NA,".551",".923",NA,".076","50",NA,".382",".392",NA,"1","0"
"63","Greg Brown III","PF","21","POR","16","93",".393","9.1",NA,".750",".536",".143",".000",".071",".250",NA,".476",".667",".000","",".000",".143",NA,".900","1.000",NA,".250","6",NA,".429",".333",NA,"0","0"
"64","Jaylen Brown","SF","26","BOS","67","2405",".491","13.6",NA,".648",".237",".203",".101",".093",".352",NA,".576",".741",".477",".543",".406",".335",NA,".467",".687",NA,".052","63",NA,".125",".279",NA,"1","0"
"65","Kendall Brown","SG","19","IND","6","40",".571","7.1",NA,".857",".429",".286",".143",".000",".143",NA,".667","1.000",".000","1.000","",".000",NA,".250","",NA,".286","2",NA,"1.000",".000",NA,"0","0"
"66","Moses Brown","C","23","TOT","36","294",".635","2.1",NA,"1.000",".729",".260",".010",".000",".000",NA,".635",".700",".480",".000","","",NA,".607","",NA,".469","37",NA,"","",NA,"0","0"
"66","Moses Brown","C","23","LAC","34","288",".635","2.1",NA,"1.000",".729",".260",".010",".000",".000",NA,".635",".700",".480",".000","","",NA,".607","",NA,".469","37",NA,"","",NA,"0","0"
"66","Moses Brown","C","23","BRK","2","6","","",NA,"","","","","","",NA,"","","","","","",NA,"","",NA,"","0",NA,"","",NA,"0","0"
